num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea
8.0,0.07157894736842106,1.9053931178626875e-08,4.2127406737438796e-08,-1.982142892661583e-10,0.0005,4.373027852305701e-06
8.0,0.07631578947368421,6.14696305879475e-09,3.923532441470782e-08,-1.9063565564408614e-09,0.0005,1.7008197118279926e-06
8.0,0.08105263157894736,1.7388105445206777e-08,4.315394256608088e-08,-1.2087989613828288e-09,0.0005,2.9917403694426995e-06
8.0,0.08578947368421053,2.1959275372496397e-08,4.26093130192332e-08,3.1037207051477322e-09,0.0005,3.401639552904159e-06
8.0,0.09052631578947369,2.068436067584098e-08,4.3965253014690954e-08,1.9586458007442094e-09,0.0005,3.264204796774639e-06
8.0,0.09526315789473684,2.6789561917556877e-08,4.08387482088982e-08,-1.0628355537287814e-09,0.0005,3.207922819454955e-06
8.0,0.1,2.3468523355260034e-08,4.109322861838813e-08,-2.0491467985887355e-09,0.0005,3.399289033359233e-06
9.0,0.01,1.3435053655962214e-09,4.642725782485571e-08,-1.21288137674333e-12,0.0005,2.5142062145036613e-06
9.0,0.01473684210526316,1.054396822356273e-09,4.7035889039283204e-08,-4.1117757620007143e-10,0.0005,2.9846891344835764e-06
9.0,0.019473684210526317,2.46954842707199e-09,4.622539066994266e-08,6.846524777038496e-10,0.0005,2.784320124942479e-06
9.0,0.024210526315789474,4.213269907595683e-09,4.7565167066630695e-08,-7.620224282680721e-10,0.0005,3.73749152422652e-06
9.0,0.02894736842105263,8.338417188725588e-09,4.7161118553253445e-08,1.6842636879623706e-10,0.0005,6.714084817251765e-06
9.0,0.03368421052631579,7.693625914979932e-09,4.7489632433214073e-08,-4.0060243792246977e-10,0.0005,3.9579215904976755e-06
9.0,0.03842105263157895,8.912739475535859e-09,4.6374011220113346e-08,-3.525899699052929e-10,0.0005,5.3233953919967516e-06
9.0,0.04315789473684211,9.636340720600105e-09,4.641643710669002e-08,-1.7539110840509407e-10,0.0005,4.5485272819502286e-06
9.0,0.04789473684210527,9.118887913303324e-09,4.8776946158112884e-08,-2.311865219291708e-09,0.0005,4.068642827366102e-06
9.0,0.052631578947368425,1.1164088722555048e-08,4.961140929356561e-08,1.572255889460788e-09,0.0005,4.073343692334164e-06
9.0,0.05736842105263158,1.726645366162233e-08,4.770403666367592e-08,-2.3558717129065365e-10,0.0005,4.692560036014189e-06
9.0,0.06210526315789474,1.537770244585268e-08,4.670624110156572e-08,1.3850269305141745e-09,0.0005,4.624925048583384e-06
9.0,0.0668421052631579,1.912443127234763e-08,4.7304431436051846e-08,2.935258493588543e-10,0.0005,4.543826741753826e-06
9.0,0.07157894736842106,1.5407359220147882e-08,4.4514613064875204e-08,1.14492938020119e-09,0.0005,3.7599559820085578e-06
9.0,0.07631578947368421,9.465294836457855e-09,4.822287044556906e-08,9.553808648067333e-10,0.0005,2.5142060883018254e-06
9.0,0.08105263157894736,2.8345117930465687e-08,4.1665428774915715e-08,-7.206765854500787e-11,0.0005,4.658742344241354e-06
